candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체,사회적기업,사회적협동조합,자활용사촌복지공장,생산품목매칭,매칭방식,비고
91,4111331901,기타수질분석기,2938701844,2938701844,주식회사 성은공조,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
92,4111331901,기타수질분석기,1378604597,1378604597,주식회사 선진일렉텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
93,4111331901,기타수질분석기,1458102877,1458102877,주식회사 오성테크,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
94,4111331901,기타수질분석기,6502401417,6502401417,선유통,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
95,4111331901,기타수질분석기,2081552260,2081552260,제주드림코리아,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
96,4111331901,기타수질분석기,2023505919,2023505919,연홍코퍼레이션,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
97,4111331901,기타수질분석기,6108108303,6108108303,대성자원개발 주식회사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
98,4111331901,기타수질분석기,3052389947,3052389947,미래코리아비지니스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
99,4111331901,기타수질분석기,2363501430,2363501430,디피에스테크놀로지,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
100,4111331901,기타수질분석기,1308646112,1308646112,주식회사아이티베이스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
101,4016150601,여과장치,8278602014,8278602014,주식회사 혼정보통신,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
102,4016150601,여과장치,5038134949,5038134949,(주)이코우,N,Y,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
103,4016150601,여과장치,7620400047,7620400047,에스지에스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
104,4016150601,여과장치,7394000782,7394000782,더원컴퍼니,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
105,4016150601,여과장치,7278602368,7278602368,주식회사 숨,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
106,4016150601,여과장치,4858601669,4858601669,주식회사 모아텍,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
107,4016150601,여과장치,4555100293,4555100293,로드파크,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
108,4016150601,여과장치,2078802795,2078802795,주식회사 클라우드소프트,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
109,4016150601,여과장치,7810302068,7810302068,에이스건설산업,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
110,4016150601,여과장치,6870700558,6870700558,에스엠제이,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
111,4016150601,여과장치,7958701414,7958701414,주식회사 씨티원 충남,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
112,4016150601,여과장치,6671900936,6671900936,제이디아이(JDI),N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
113,4016150601,여과장치,4578801111,4578801111,주식회사 가경이앤씨,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
114,4016150601,여과장치,3058149402,3058149402,주식회사 아워스,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
115,4016150601,여과장치,4098162406,4098162406,대성이엔이 주식회사,N,Y,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
116,4016150601,여과장치,3091861646,3091861646,모아상사,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
117,4016150601,여과장치,8578100569,8578100569,(주)제이인터내셔날,N,N,,,,,원천조회_미매칭,현재 후보 목록 기준 사회적가치 확정 매칭 없음
