candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,대표물품,제조업체,낙찰건수,최근낙찰건수,최근낙찰일,평균낙찰금액,낙찰금액합계,부정당제재,제재횟수,현재제재여부,제재종료일,매칭방식,비고
314,4010160101,송풍기,1428800715,1428800715,주식회사 유진랩,N,N,41,3,2025-12-30,67296521,2759157360.0,,,,,원천_사업자번호집계,
315,4010160101,송풍기,2078802795,2078802795,주식회사 클라우드소프트,N,N,41,7,2025-11-04,49425027,2026426099.0,,,,,원천_사업자번호집계,
316,4010160101,송풍기,7810302068,7810302068,에이스건설산업,N,N,39,9,2025-11-20,57439411,2240137034.95,,,,,원천_사업자번호집계,
317,4010160101,송풍기,7481801052,7481801052,제스트,N,N,37,5,2025-06-12,40159048,1485884773.06,,,,,원천_사업자번호집계,
318,4010160101,송풍기,3328802499,3328802499,주식회사 루트텍,N,N,35,2,2025-05-30,46886168,1641015863.0,,,,,원천_사업자번호집계,
319,4010160101,송풍기,6870700558,6870700558,에스엠제이,N,N,35,5,2025-11-25,37583689,1315429118.0,,,,,원천_사업자번호집계,
320,4010160101,송풍기,1288686770,1288686770,주식회사 메디시온,N,N,32,4,2025-06-16,143859070,4603490234.1,,,,,원천_사업자번호집계,
321,4010160101,송풍기,7958701414,7958701414,주식회사 씨티원 충남,N,N,32,10,2025-12-31,66340780,2122904955.42,,,,,원천_사업자번호집계,
322,4010160101,송풍기,6671900936,6671900936,제이디아이(JDI),N,N,32,3,2025-10-13,27473075,879138387.0,,,,,원천_사업자번호집계,
323,4010160101,송풍기,3091861646,3091861646,모아상사,N,N,29,9,2025-12-11,101900848,2955124581.0,,,,,원천_사업자번호집계,
324,4010160101,송풍기,7254000347,7254000347,마린아트,N,N,28,3,2025-08-25,50904524,1425326674.0,,,,,원천_사업자번호집계,
325,4010160101,송풍기,5118127226,5118127226,주식회사 마크온탑,N,N,27,7,2025-11-11,101554183,2741962939.6,,,,,원천_사업자번호집계,
326,4010160101,송풍기,8878102928,8878102928,주식회사 제이디폼,N,N,27,2,2025-07-23,83500934,2254525225.85,,,,,원천_사업자번호집계,
327,4010160101,송풍기,2166700331,2166700331,디오세이프티(DO SAFETY),N,N,26,4,2025-12-04,53578864,1393050453.0,,,,,원천_사업자번호집계,
328,4010160101,송풍기,2273001106,2273001106,서이트레이드,N,N,25,14,2025-12-16,118393728,2959843210.0,,,,,원천_사업자번호집계,
329,4010160101,송풍기,5323701365,5323701365,케이엘컴퍼니,N,N,25,5,2025-12-15,62582238,1564555950.0,,,,,원천_사업자번호집계,
330,4010160101,송풍기,2068693703,2068693703,(주)원포인트 듀오,N,N,23,9,2025-12-24,51209869,1177826983.12,,,,,원천_사업자번호집계,
331,4010160101,송풍기,4721301373,4721301373,어진컴퍼니,N,N,21,,2024-11-29,116237986,2440997700.0,,,,,원천_사업자번호집계,
332,4010160101,송풍기,1218641961,1218641961,주식회사 이안코리아,N,N,19,1,2025-12-23,208236483,3956493170.0,,,,,원천_사업자번호집계,
333,4010160101,송풍기,2803701009,2803701009,오성,N,N,19,2,2025-05-26,133731538,2540899223.0,,,,,원천_사업자번호집계,
334,4010160101,송풍기,3020561946,3020561946,다옴,N,N,19,6,2025-11-07,66847753,1270107300.0,,,,,원천_사업자번호집계,
