candidate_id,물품번호,물품명,사업자번호_정규화,업체명,물품별_AI순위,전체_AI순위,AI예측점수,규칙기반_균형형_물품별순위,규칙기반_균형형_전체순위,규칙기반_균형형점수,대표물품,제조업체,낙찰건수,최근낙찰건수,부정당제재,현재제재여부,창업기업,장애인표준사업장
298,4015150501,정량펌프,2130233834,한가람커뮤니케이션즈,50,499,0.001564,46,480,7.259,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
422,4015151301,수중펌프,3978200633,(사)한빛장애인협회 환경사업단,1,5,0.854671,8,219,18.8312,0.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0
419,4015151301,수중펌프,2988102360,주식회사 아이수(i-su Inc.),2,10,0.808008,4,152,22.355,1.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0
423,4015151301,수중펌프,1131581453,동양펌프,3,12,0.749948,10,264,17.2844,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0
408,4015151301,수중펌프,5688200569,사단법인 벗나래복지회사업단,4,14,0.72054,3,67,26.8108,0.0,1.0,17.0,17.0,0.0,0.0,0.0,0.0
435,4015151301,수중펌프,4188152426,하이스트 주식회사,5,29,0.494381,12,303,15.9198,0.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0
401,4015151301,수중펌프,2998200019,(사)한빛장애인협회 기전사업단,6,43,0.371234,1,10,35.688,0.0,1.0,50.0,19.0,0.0,0.0,0.0,0.0
440,4015151301,수중펌프,8468101781,(주)나인티에스,7,54,0.323101,23,412,10.8468,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
404,4015151301,수중펌프,1608803078,유명이엔지주식회사,8,131,0.06394,2,64,26.8521,0.0,1.0,21.0,12.0,0.0,0.0,0.0,0.0
426,4015151301,수중펌프,1138197829,주식회사 드림이앤에프,9,154,0.035231,27,440,9.483,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
430,4015151301,수중펌프,2248124586,합자회사 영진이엔지,10,155,0.034791,41,478,7.3668,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
433,4015151301,수중펌프,5038118634,광진기공(주),11,174,0.024857,28,442,9.474,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
417,4015151301,수중펌프,4108197415,지브이산업 주식회사,12,182,0.020731,21,402,11.1624,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0
442,4015151301,수중펌프,3018137471,(주)태성,13,219,0.014806,38,472,7.8164,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
434,4015151301,수중펌프,1258130442,성남건설산업주식회사,14,221,0.014569,35,463,8.155,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
413,4015151301,수중펌프,5108119062,브이건설 주식회사,15,227,0.014087,16,349,13.6538,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0
412,4015151301,수중펌프,4098145197,브이원건설 주식회사,16,240,0.012325,19,387,11.6794,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0
416,4015151301,수중펌프,4098192439,에이원산업 주식회사,17,259,0.009917,33,460,8.2324,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
441,4015151301,수중펌프,1928101651,주식회사 진흥,18,282,0.008126,34,462,8.1811,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0
403,4015151301,수중펌프,4018140669,(유)신성시엔시,19,286,0.007762,6,172,21.587,0.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0
410,4015151301,수중펌프,7782600684,한마음,20,322,0.006189,17,355,13.3013,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0
402,4015151301,수중펌프,5118127226,주식회사 마크온탑,21,323,0.006127,5,161,21.9629,0.0,0.0,27.0,7.0,0.0,0.0,0.0,0.0
427,4015151301,수중펌프,4874600729,신형,22,374,0.00462,26,426,10.2253,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0
407,4015151301,수중펌프,6938600164,주식회사 마한건설조명,23,396,0.004011,13,312,15.5294,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0
438,4015151301,수중펌프,6514700797,다산의료기,24,410,0.003841,48,493,4.2506,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
428,4015151301,수중펌프,2362501649,영재유통,25,411,0.003833,36,469,7.9429,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
436,4015151301,수중펌프,2201169007,대경시스템,26,420,0.003668,39,474,7.6879,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
