물품별_AI순위,전체_AI순위,candidate_id,물품번호,물품명,사업자번호,사업자번호_정규화,업체명,AI예측점수,대표물품,제조업체,공급품목등록후_경과일수,공급품목등록후_경과일수_log,업체_등록품목수,업체_동일대분류등록수,업체_동일분류공급품목수,업체_동일중분류등록수,업체_동일소분류등록수,업체_대표물품등록수,업체_제조품목등록수,품목_공급업체수,품목_대표물품업체수,품목_제조업체수,품목_제조업체비율,품목_대표물품비율,품목_평균참가업체수,품목_평균참가업체수_log,품목_경쟁강도,이전전체낙찰건수,이전동일품목낙찰건수,해당물품_과거낙찰건수,이전동일대분류낙찰건수,최근365일낙찰건수,최근낙찰일_경과일수,최근낙찰일_경과일수_log,이전낙찰금액합계_log,참가업체수_log,물품번호_prefix2,물품번호_prefix4,물품번호_prefix6,창업기업,장애인표준사업장,사회적기업,부정당제재,제재종료후_경과일수,제재종료후_경과일수_log
33,366,348,4010160101,송풍기,1430175713,1430175713,에스와이컴퍼니,0.004753,0.0,0.0,1114.0,7.016609683894219,184.0,7.0,3.0,3.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,16.0,0.0,0.0,0.0,0.0,372.0,5.921578419643816,21.199859531433567,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
34,369,331,4010160101,송풍기,4721301373,4721301373,어진컴퍼니,0.004698,0.0,0.0,1112.0,7.014814351275545,298.0,7.0,3.0,3.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,21.0,0.0,0.0,0.0,0.0,547.0,6.306275286948016,21.61567268652967,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
35,370,306,4010160101,송풍기,2117400300,2117400300,에닐트 (HENNILT),0.00467,0.0,0.0,1487.0,7.305188215393037,115.0,6.0,1.0,1.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,56.0,0.0,0.0,0.0,0.0,437.0,6.082218910376446,22.125663358904415,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
36,371,310,4010160101,송풍기,1308685487,1308685487,바이오퍼스글로벌 주식회사,0.004668,0.0,0.0,1116.0,7.018401799069201,284.0,23.0,8.0,8.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,46.0,0.0,0.0,0.0,3.0,316.0,5.75890177387728,22.099802480507,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
37,372,350,4010160101,송풍기,7342601117,7342601117,에벤에셀,0.004662,0.0,0.0,1114.0,7.016609683894219,198.0,9.0,2.0,2.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,16.0,0.0,0.0,0.0,1.0,201.0,5.308267697401205,20.860626926536117,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
38,373,335,4010160101,송풍기,1408161167,1408161167,(주)협성산업,0.004653,0.0,0.0,1120.0,7.02197642307216,238.0,18.0,5.0,5.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,19.0,0.0,0.0,0.0,1.0,311.0,5.7430031878094825,20.732386428611704,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
39,375,308,4010160101,송풍기,7278602368,7278602368,주식회사 숨,0.004607,0.0,0.0,1114.0,7.016609683894219,596.0,29.0,9.0,9.0,3.0,1.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,48.0,0.0,0.0,0.0,4.0,165.0,5.111987788356544,21.692833985055888,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
40,380,343,4010160101,송풍기,5568101156,5568101156,주식회사 우리에이치알컴퍼니,0.004506,0.0,0.0,1115.0,7.017506142941256,283.0,16.0,4.0,4.0,2.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,17.0,0.0,0.0,0.0,4.0,177.0,5.181783550292085,21.445408952630057,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
41,383,316,4010160101,송풍기,7810302068,7810302068,에이스건설산업,0.004418,0.0,0.0,1111.0,7.013915474810528,392.0,17.0,4.0,4.0,1.0,0.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,39.0,0.0,0.0,0.0,7.0,176.0,5.176149732573829,21.52980287770553,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
42,385,312,4010160101,송풍기,6978702327,6978702327,주식회사 크리스탈소프트,0.004405,0.0,0.0,1114.0,7.016609683894219,710.0,28.0,8.0,8.0,2.0,1.0,0.0,1127.0,23.0,0.0,0.0,0.02040816326530612,43.17134831460674,3.7880763507166106,0.03830643151251707,45.0,0.0,0.0,0.0,9.0,150.0,5.017279836814924,21.51739492036517,0.0,40.0,4010.0,401016.0,0.0,0.0,0.0,0.0,0.0,0.0
